Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2010,20104,0200144,99,OFFICE WORKERS AT MINE SITE,"29,496 ",0 ,59 
2009,20091,0200144,03,"STRIP, QUARY, OPEN PIT","154,653 ",0 ,304 
2009,20091,0200144,30,MILL OPERATION/PREPARATION PLANT,"320,740 ",0 ,629 
2009,20091,0200144,99,OFFICE WORKERS AT MINE SITE,"25,767 ",0 ,46 
2009,20092,0200144,03,"STRIP, QUARY, OPEN PIT","146,696 ",0 ,300 
2009,20092,0200144,30,MILL OPERATION/PREPARATION PLANT,"301,864 ",0 ,641 
2009,20092,0200144,99,OFFICE WORKERS AT MINE SITE,"25,375 ",0 ,47 
2009,20093,0200144,03,"STRIP, QUARY, OPEN PIT","151,433 ",0 ,301 
2009,20093,0200144,30,MILL OPERATION/PREPARATION PLANT,"327,858 ",0 ,633 
2009,20093,0200144,99,OFFICE WORKERS AT MINE SITE,"26,633 ",0 ,47 
2009,20094,0200144,03,"STRIP, QUARY, OPEN PIT","145,860 ",0 ,301 
2009,20094,0200144,30,MILL OPERATION/PREPARATION PLANT,"325,500 ",0 ,633 
2009,20094,0200144,99,OFFICE WORKERS AT MINE SITE,"24,933 ",0 ,47 
2008,20081,0200144,03,"STRIP, QUARY, OPEN PIT","164,141 ",0 ,314 
2008,20081,0200144,30,MILL OPERATION/PREPARATION PLANT,"361,576 ",0 ,704 
2008,20081,0200144,99,OFFICE WORKERS AT MINE SITE,"24,662 ",0 ,47 
2008,20082,0200144,03,"STRIP, QUARY, OPEN PIT","169,701 ",0 ,323 
2008,20082,0200144,30,MILL OPERATION/PREPARATION PLANT,"368,431 ",0 ,718 
2008,20082,0200144,99,OFFICE WORKERS AT MINE SITE,"27,061 ",0 ,54 
2008,20083,0200144,03,"STRIP, QUARY, OPEN PIT","177,447 ",0 ,334 
2008,20083,0200144,30,MILL OPERATION/PREPARATION PLANT,"398,321 ",0 ,754 
2008,20083,0200144,99,OFFICE WORKERS AT MINE SITE,"29,832 ",0 ,51 
2008,20084,0200144,03,"STRIP, QUARY, OPEN PIT","168,552 ",0 ,320 
2008,20084,0200144,30,MILL OPERATION/PREPARATION PLANT,"367,678 ",0 ,707 
2008,20084,0200144,99,OFFICE WORKERS AT MINE SITE,"25,017 ",0 ,46 
2007,20071,0200144,03,"STRIP, QUARY, OPEN PIT","135,660 ",0 ,270 
2007,20071,0200144,30,MILL OPERATION/PREPARATION PLANT,"309,631 ",0 ,643 
2007,20071,0200144,99,OFFICE WORKERS AT MINE SITE,"20,402 ",0 ,44 
2007,20072,0200144,03,"STRIP, QUARY, OPEN PIT","147,288 ",0 ,281 
2007,20072,0200144,30,MILL OPERATION/PREPARATION PLANT,"365,464 ",0 ,655 
2007,20072,0200144,99,OFFICE WORKERS AT MINE SITE,"26,026 ",0 ,47 
2007,20073,0200144,03,"STRIP, QUARY, OPEN PIT","155,910 ",0 ,305 
2007,20073,0200144,30,MILL OPERATION/PREPARATION PLANT,"336,476 ",0 ,663 
2007,20073,0200144,99,OFFICE WORKERS AT MINE SITE,"23,230 ",0 ,49 
2007,20074,0200144,03,"STRIP, QUARY, OPEN PIT","165,210 ",0 ,314 
2007,20074,0200144,30,MILL OPERATION/PREPARATION PLANT,"375,430 ",0 ,669 
2007,20074,0200144,99,OFFICE WORKERS AT MINE SITE,"25,772 ",0 ,50 
2006,20061,0200144,03,"STRIP, QUARY, OPEN PIT","115,880 ",0 ,228 
2006,20061,0200144,30,MILL OPERATION/PREPARATION PLANT,"271,948 ",0 ,528 
2006,20061,0200144,99,OFFICE WORKERS AT MINE SITE,"31,246 ",0 ,85 
2006,20062,0200144,03,"STRIP, QUARY, OPEN PIT","122,549 ",0 ,243 
2006,20062,0200144,30,MILL OPERATION/PREPARATION PLANT,"298,653 ",0 ,520 
2006,20062,0200144,99,OFFICE WORKERS AT MINE SITE,"19,782 ",0 ,99 
2006,20063,0200144,03,"STRIP, QUARY, OPEN PIT","129,474 ",0 ,248 
2006,20063,0200144,30,MILL OPERATION/PREPARATION PLANT,"347,349 ",0 ,623 
2006,20063,0200144,99,OFFICE WORKERS AT MINE SITE,"24,119 ",0 ,42 
2006,20064,0200144,03,"STRIP, QUARY, OPEN PIT","128,961 ",0 ,263 
2006,20064,0200144,30,MILL OPERATION/PREPARATION PLANT,"319,946 ",0 ,648 
2006,20064,0200144,99,OFFICE WORKERS AT MINE SITE,"30,634 ",0 ,43 
2005,20051,0200144,03,"STRIP, QUARY, OPEN PIT","110,704 ",0 ,212 
