Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2009,20092,0200150,99,OFFICE WORKERS AT MINE SITE,"17,824 ",0 ,36 
2009,20093,0200150,03,"STRIP, QUARY, OPEN PIT","349,204 ",0 ,695 
2009,20093,0200150,30,MILL OPERATION/PREPARATION PLANT,"60,901 ",0 ,78 
2009,20093,0200150,99,OFFICE WORKERS AT MINE SITE,"7,297 ",0 ,22 
2009,20094,0200150,03,"STRIP, QUARY, OPEN PIT","184,404 ",0 ,367 
2009,20094,0200150,30,MILL OPERATION/PREPARATION PLANT,"170,451 ",0 ,299 
2009,20094,0200150,99,OFFICE WORKERS AT MINE SITE,"21,455 ",0 ,53 
2008,20081,0200150,03,"STRIP, QUARY, OPEN PIT","263,646 ",0 ,572 
2008,20081,0200150,30,MILL OPERATION/PREPARATION PLANT,"39,807 ",0 ,114 
2008,20081,0200150,99,OFFICE WORKERS AT MINE SITE,"9,401 ",0 ,15 
2008,20082,0200150,03,"STRIP, QUARY, OPEN PIT","331,704 ",0 ,573 
2008,20082,0200150,30,MILL OPERATION/PREPARATION PLANT,"49,885 ",0 ,116 
2008,20082,0200150,99,OFFICE WORKERS AT MINE SITE,"9,607 ",0 ,20 
2008,20083,0200150,03,"STRIP, QUARY, OPEN PIT","339,080 ",0 ,639 
2008,20083,0200150,30,MILL OPERATION/PREPARATION PLANT,"50,836 ",0 ,92 
2008,20083,0200150,99,OFFICE WORKERS AT MINE SITE,"9,480 ",0 ,20 
2008,20084,0200150,03,"STRIP, QUARY, OPEN PIT","318,014 ",0 ,627 
2008,20084,0200150,30,MILL OPERATION/PREPARATION PLANT,"41,589 ",0 ,93 
2008,20084,0200150,99,OFFICE WORKERS AT MINE SITE,"11,726 ",0 ,25 
2007,20071,0200150,03,"STRIP, QUARY, OPEN PIT","264,838 ",0 ,543 
2007,20071,0200150,30,MILL OPERATION/PREPARATION PLANT,"41,783 ",0 ,83 
2007,20071,0200150,99,OFFICE WORKERS AT MINE SITE,"8,168 ",0 ,15 
2007,20072,0200150,03,"STRIP, QUARY, OPEN PIT","268,559 ",0 ,554 
2007,20072,0200150,30,MILL OPERATION/PREPARATION PLANT,"42,014 ",0 ,82 
2007,20072,0200150,99,OFFICE WORKERS AT MINE SITE,"8,573 ",0 ,16 
2007,20073,0200150,03,"STRIP, QUARY, OPEN PIT","260,811 ",0 ,572 
2007,20073,0200150,30,MILL OPERATION/PREPARATION PLANT,"41,476 ",0 ,100 
2007,20073,0200150,99,OFFICE WORKERS AT MINE SITE,"9,238 ",0 ,15 
2007,20074,0200150,03,"STRIP, QUARY, OPEN PIT","290,777 ",0 ,575 
2007,20074,0200150,30,MILL OPERATION/PREPARATION PLANT,"46,612 ",0 ,90 
2007,20074,0200150,99,OFFICE WORKERS AT MINE SITE,"8,640 ",0 ,15 
2006,20061,0200150,03,"STRIP, QUARY, OPEN PIT","245,803 ",0 ,506 
2006,20061,0200150,30,MILL OPERATION/PREPARATION PLANT,"40,336 ",0 ,92 
2006,20061,0200150,99,OFFICE WORKERS AT MINE SITE,"6,908 ",0 ,15 
2006,20062,0200150,03,"STRIP, QUARY, OPEN PIT","268,997 ",0 ,527 
2006,20062,0200150,30,MILL OPERATION/PREPARATION PLANT,"43,751 ",0 ,98 
2006,20062,0200150,99,OFFICE WORKERS AT MINE SITE,"7,453 ",0 ,15 
2006,20063,0200150,03,"STRIP, QUARY, OPEN PIT","249,755 ",0 ,547 
2006,20063,0200150,30,MILL OPERATION/PREPARATION PLANT,"41,583 ",0 ,81 
2006,20063,0200150,99,OFFICE WORKERS AT MINE SITE,"8,633 ",0 ,15 
2006,20064,0200150,03,"STRIP, QUARY, OPEN PIT","252,211 ",0 ,525 
2006,20064,0200150,30,MILL OPERATION/PREPARATION PLANT,"40,632 ",0 ,84 
2006,20064,0200150,99,OFFICE WORKERS AT MINE SITE,"7,338 ",0 ,15 
2005,20051,0200150,03,"STRIP, QUARY, OPEN PIT","261,075 ",0 ,572 
2005,20051,0200150,30,MILL OPERATION/PREPARATION PLANT,"43,250 ",0 ,98 
2005,20051,0200150,99,OFFICE WORKERS AT MINE SITE,"5,844 ",0 ,12 
2005,20052,0200150,03,"STRIP, QUARY, OPEN PIT","301,955 ",0 ,580 
2005,20052,0200150,30,MILL OPERATION/PREPARATION PLANT,"49,560 ",0 ,97 
2005,20052,0200150,99,OFFICE WORKERS AT MINE SITE,"4,052 ",0 ,12 
2005,20053,0200150,03,"STRIP, QUARY, OPEN PIT","122,127 ",0 ,160 
2005,20053,0200150,30,MILL OPERATION/PREPARATION PLANT,"18,294 ",0 ,29 
2005,20053,0200150,99,OFFICE WORKERS AT MINE SITE,"7,330 ",0 ,10 
2005,20054,0200150,03,"STRIP, QUARY, OPEN PIT","254,710 ",0 ,518 
2005,20054,0200150,30,MILL OPERATION/PREPARATION PLANT,"40,886 ",0 ,84 
2005,20054,0200150,99,OFFICE WORKERS AT MINE SITE,"6,085 ",0 ,11 
2004,20041,0200150,03,"STRIP, QUARY, OPEN PIT","247,689 ",0 ,499 
2004,20041,0200150,30,MILL OPERATION/PREPARATION PLANT,"47,340 ",0 ,89 
2004,20041,0200150,99,OFFICE WORKERS AT MINE SITE,"7,159 ",0 ,16 
2004,20042,0200150,03,"STRIP, QUARY, OPEN PIT","256,421 ",0 ,554 
2004,20042,0200150,30,MILL OPERATION/PREPARATION PLANT,"45,318 ",0 ,93 
2004,20042,0200150,99,OFFICE WORKERS AT MINE SITE,"8,129 ",0 ,19 
2004,20043,0200150,03,"STRIP, QUARY, OPEN PIT","293,270 ",0 ,681 
2004,20043,0200150,30,MILL OPERATION/PREPARATION PLANT,"49,754 ",0 ,98 
2004,20043,0200150,99,OFFICE WORKERS AT MINE SITE,"8,561 ",0 ,16 
2004,20044,0200150,03,"STRIP, QUARY, OPEN PIT","287,517 ",0 ,572 
2004,20044,0200150,30,MILL OPERATION/PREPARATION PLANT,"49,487 ",0 ,88 
2004,20044,0200150,99,OFFICE WORKERS AT MINE SITE,"7,996 ",0 ,18 
2003,20031,0200150,03,"STRIP, QUARY, OPEN PIT","194,231 ",0 ,342 
2003,20031,0200150,30,MILL OPERATION/PREPARATION PLANT,"11,857 ",0 ,85 
2003,20031,0200150,99,OFFICE WORKERS AT MINE SITE,"2,383 ",0 ,16 
2003,20032,0200150,03,"STRIP, QUARY, OPEN PIT","191,386 ",0 ,407 
2003,20032,0200150,30,MILL OPERATION/PREPARATION PLANT,"51,728 ",0 ,91 
2003,20032,0200150,99,OFFICE WORKERS AT MINE SITE,"6,555 ",0 ,14 
2003,20033,0200150,03,"STRIP, QUARY, OPEN PIT","206,262 ",0 ,425 
