Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
20063,0200024,99,OFFICE WORKERS AT MINE SITE,"9,465 ",0 ,20 
20063,0200024,Total,,"1,482,304 ",0 ,"2,780 "
20062,0200024,03,"STRIP, QUARY, OPEN PIT","759,850 ",0 ,"1,301 "
20062,0200024,30,MILL OPERATION/PREPARATION PLANT,"583,886 ",0 ,"1,301 "
20062,0200024,99,OFFICE WORKERS AT MINE SITE,"9,524 ",0 ,20 
20062,0200024,Total,,"1,353,260 ",0 ,"2,622 "
20061,0200024,03,"STRIP, QUARY, OPEN PIT","752,188 ",0 ,"1,212 "
20061,0200024,30,MILL OPERATION/PREPARATION PLANT,"524,959 ",0 ,"1,212 "
20061,0200024,99,OFFICE WORKERS AT MINE SITE,"9,804 ",0 ,20 
20061,0200024,Total,,"1,286,951 ",0 ,"2,444 "
20054,0200024,03,"STRIP, QUARY, OPEN PIT","690,356 ",0 ,"1,151 "
20054,0200024,30,MILL OPERATION/PREPARATION PLANT,"437,141 ",0 ,"1,151 "
20054,0200024,99,OFFICE WORKERS AT MINE SITE,"8,496 ",0 ,20 
20054,0200024,Total,,"1,135,993 ",0 ,"2,322 "
20053,0200024,03,"STRIP, QUARY, OPEN PIT","753,459 ",0 ,"1,126 "
20053,0200024,30,MILL OPERATION/PREPARATION PLANT,"480,486 ",0 ,"1,126 "
20053,0200024,99,OFFICE WORKERS AT MINE SITE,"9,283 ",0 ,20 
20053,0200024,Total,,"1,243,228 ",0 ,"2,272 "
20052,0200024,03,"STRIP, QUARY, OPEN PIT","727,092 ",0 ,"1,125 "
20052,0200024,30,MILL OPERATION/PREPARATION PLANT,"467,349 ",0 ,"1,125 "
20052,0200024,99,OFFICE WORKERS AT MINE SITE,"8,624 ",0 ,30 
20052,0200024,Total,,"1,203,065 ",0 ,"2,280 "
20051,0200024,03,"STRIP, QUARY, OPEN PIT","652,881 ",0 ,"1,093 "
20051,0200024,30,MILL OPERATION/PREPARATION PLANT,"494,931 ",0 ,"1,093 "
20051,0200024,99,OFFICE WORKERS AT MINE SITE,"7,899 ",0 ,30 
20051,0200024,Total,,"1,155,711 ",0 ,"2,216 "
20044,0200024,03,"STRIP, QUARY, OPEN PIT","619,809 ",0 ,"1,061 "
20044,0200024,30,MILL OPERATION/PREPARATION PLANT,"506,576 ",0 ,"1,061 "
20044,0200024,99,OFFICE WORKERS AT MINE SITE,"12,790 ",0 ,20 
20044,0200024,Total,,"1,139,175 ",0 ,"2,142 "
20043,0200024,03,"STRIP, QUARY, OPEN PIT","611,131 ",0 ,"1,018 "
20043,0200024,30,MILL OPERATION/PREPARATION PLANT,"514,149 ",0 ,"1,018 "
20043,0200024,99,OFFICE WORKERS AT MINE SITE,"6,822 ",0 ,20 
20043,0200024,Total,,"1,132,102 ",0 ,"2,056 "
20042,0200024,03,"STRIP, QUARY, OPEN PIT","569,196 ",0 ,982 
20042,0200024,30,MILL OPERATION/PREPARATION PLANT,"502,032 ",0 ,982 
20042,0200024,99,OFFICE WORKERS AT MINE SITE,"6,161 ",0 ,20 
20042,0200024,Total,,"1,077,389 ",0 ,"1,984 "
20041,0200024,03,"STRIP, QUARY, OPEN PIT","554,411 ",0 ,984 
20041,0200024,30,MILL OPERATION/PREPARATION PLANT,"498,158 ",0 ,984 
20041,0200024,99,OFFICE WORKERS AT MINE SITE,"5,445 ",0 ,20 
20041,0200024,Total,,"1,058,014 ",0 ,"1,988 "
20034,0200024,03,"STRIP, QUARY, OPEN PIT","544,944 ",0 ,"1,024 "
20034,0200024,30,MILL OPERATION/PREPARATION PLANT,"482,102 ",0 ,"1,025 "
20034,0200024,99,OFFICE WORKERS AT MINE SITE,"8,747 ",0 ,20 
20034,0200024,Total,,"1,035,793 ",0 ,"2,069 "
20033,0200024,03,"STRIP, QUARY, OPEN PIT","546,263 ",0 ,"1,025 "
