Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2007,20074,0201049,03,"STRIP, QUARY, OPEN PIT","7,066 ",0 ,14 
2007,20074,0201049,30,MILL OPERATION/PREPARATION PLANT,"127,692 ",0 ,253 
2007,20074,0201049,99,OFFICE WORKERS AT MINE SITE,"26,246 ",0 ,52 
2006,20061,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2006,20061,0201049,30,MILL OPERATION/PREPARATION PLANT,"29,911 ",0 ,61 
2006,20061,0201049,99,OFFICE WORKERS AT MINE SITE,"10,037 ",0 ,20 
2006,20062,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2006,20062,0201049,30,MILL OPERATION/PREPARATION PLANT,"28,702 ",0 ,59 
2006,20062,0201049,99,OFFICE WORKERS AT MINE SITE,"10,279 ",0 ,21 
2006,20063,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2006,20063,0201049,30,MILL OPERATION/PREPARATION PLANT,"27,799 ",0 ,57 
2006,20063,0201049,99,OFFICE WORKERS AT MINE SITE,"10,670 ",0 ,22 
2006,20064,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2006,20064,0201049,30,MILL OPERATION/PREPARATION PLANT,"26,826 ",0 ,59 
2006,20064,0201049,99,OFFICE WORKERS AT MINE SITE,"12,230 ",0 ,27 
2005,20051,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2005,20051,0201049,30,MILL OPERATION/PREPARATION PLANT,"28,155 ",0 ,59 
2005,20051,0201049,99,OFFICE WORKERS AT MINE SITE,"9,063 ",0 ,19 
2005,20052,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2005,20052,0201049,30,MILL OPERATION/PREPARATION PLANT,"28,918 ",0 ,59 
2005,20052,0201049,99,OFFICE WORKERS AT MINE SITE,"9,367 ",0 ,19 
2005,20053,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2005,20053,0201049,30,MILL OPERATION/PREPARATION PLANT,"29,419 ",0 ,60 
2005,20053,0201049,99,OFFICE WORKERS AT MINE SITE,"9,367 ",0 ,19 
2005,20054,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2005,20054,0201049,30,MILL OPERATION/PREPARATION PLANT,"29,679 ",0 ,63 
2005,20054,0201049,99,OFFICE WORKERS AT MINE SITE,"8,940 ",0 ,20 
2004,20041,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2004,20041,0201049,30,MILL OPERATION/PREPARATION PLANT,"30,442 ",0 ,59 
2004,20041,0201049,99,OFFICE WORKERS AT MINE SITE,"8,528 ",0 ,18 
2004,20042,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2004,20042,0201049,30,MILL OPERATION/PREPARATION PLANT,"31,251 ",0 ,62 
2004,20042,0201049,99,OFFICE WORKERS AT MINE SITE,"8,727 ",0 ,18 
2004,20043,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2004,20043,0201049,30,MILL OPERATION/PREPARATION PLANT,"28,929 ",0 ,59 
2004,20043,0201049,99,OFFICE WORKERS AT MINE SITE,"8,904 ",0 ,18 
2004,20044,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2004,20044,0201049,30,MILL OPERATION/PREPARATION PLANT,"27,753 ",0 ,59 
2004,20044,0201049,99,OFFICE WORKERS AT MINE SITE,"8,425 ",0 ,18 
2003,20031,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2003,20031,0201049,30,MILL OPERATION/PREPARATION PLANT,"30,893 ",0 ,62 
2003,20031,0201049,99,OFFICE WORKERS AT MINE SITE,"8,118 ",0 ,17 
2003,20032,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2003,20032,0201049,30,MILL OPERATION/PREPARATION PLANT,0 ,0 ,0 
2003,20032,0201049,99,OFFICE WORKERS AT MINE SITE,0 ,0 ,0 
