ActivityMediaSubdivisionName,,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.78,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.79,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.79,None,
Water,Surface Water,2021-04-06,USGS-332055112344901,,,40,USGS parameter code 82398,Multiple verticals,pH,Total,7.8,std units,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.8,None,
Water,,2021-03-25,QUECHAN_WQX-SRP03,32.73141,-114.6131,Quechan_QAPP,QUECHAN_WQX,Standard Method,pH,,7.8,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.81,None,
Water,Surface Water,2020-06-11,AZDEQ_SW-501,34.4067322,-111.001555,Unknown,AZDEQ_SW,Unknown,pH,Total,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.82,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.83,None,
