,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
1149,,2020-04-30,FMYN_WQX-VR1,33.71378,111.652,Magnesium,23.6
1334,,2020-07-29,FMYN_WQX-VR1,33.71378,111.652,Magnesium,15.8
1235,,2020-01-15,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,20.9
1151,,2020-04-30,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,23.5
1316,,2020-07-29,FMYN_WQX-VR5,33.62367,111.6686,Magnesium,17.0
1243,,2020-01-15,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,20.5
1175,,2020-05-05,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,22.5
1307,,2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,18.3
1315,,2020-07-30,FMYN_WQX-VR7,33.60681,111.6791,Magnesium,17.8
1238,,2020-01-15,FMYN_WQX-VR9,33.571,111.6691,Magnesium,20.8
1180,,2020-05-05,FMYN_WQX-VR9,33.571,111.6691,Magnesium,22.3
1318,,2020-07-30,FMYN_WQX-VR9,33.571,111.6691,Magnesium,17.0
1338,,2020-11-18,SRPMIC-SR-1,33.546683,-111.660333,Magnesium,15.0
1339,,2021-03-30,SRPMIC-SR-1,33.546683,-111.660333,Magnesium,15.0
1283,,2020-11-18,SRPMIC-SR-2,33.5389,-111.671917,Magnesium,19.0
1311,,2021-03-30,SRPMIC-SR-2,33.5389,-111.671917,Magnesium,18.0
1110,,2020-11-18,SRPMIC-VR-1,33.557667,-111.667983,Magnesium,25.0
1070,,2021-03-30,SRPMIC-VR-1,33.557667,-111.667983,Magnesium,27.0
1111,,2020-11-18,SRPMIC-VR-2,33.566806,-111.666583,Magnesium,25.0
1071,,2021-03-30,SRPMIC-VR-2,33.566806,-111.666583,Magnesium,27.0
1271,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.5
1272,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.5
